"country","year","time","NetCost","GovAssets","GovLiabilities","ContingentLiabilities","NetCostPerGdp_variable","NetCostPerGdp_2008","GovAssetsPerGdp_variable","GovAssetsPerGdp_2008","GovLiabilitiesPerGdp_variable","GovLiabilitiesPerGdp_2008","ContingentLiabilitiesPerGdp_variable","ContingentLiabilitiesPerGdp_2008"
"AT",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT",2008,2,2.1,900,900,7000,0,0,0.32,0.32,0.32,0.32,2.48,2.48
"AT",2009,3,-40,5644,5898.9,23300,-0.01,-0.01,2.04,2,2.14,2.09,8.44,8.24
"AT",2010,4,-1395.3,5643.8,7594.5,22170,-0.49,-0.49,1.98,2,2.66,2.69,7.77,7.84
"AT",2011,5,-341.3,5019,7644.6,17150,-0.11,-0.12,1.68,1.78,2.55,2.7,5.73,6.07
"AT",2012,6,-2573,4433.8,9837.2,11610.5,-0.84,-0.91,1.44,1.57,3.2,3.48,3.78,4.11
"AT",2013,7,-1896.3,3009.8,10480.5,7394,NA,-0.67,NA,1.06,NA,3.71,NA,2.62
"BE",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE",2008,2,-30.7,20046,19546,36234.6,-0.01,-0.01,5.79,5.79,5.64,5.64,10.46,10.46
"BE",2009,3,-33,18693.1,19019.6,62046.8,-0.01,-0.01,5.49,5.4,5.58,5.49,18.21,17.91
"BE",2010,4,249.8,17227.3,18961.6,55829.3,0.07,0.07,4.84,4.97,5.33,5.47,15.69,16.12
"BE",2011,5,450.2,18078.5,23490.2,46959.7,0.12,0.13,4.9,5.22,6.36,6.78,12.72,13.56
"BE",2012,6,-2116.6,16078.4,22873.4,59057.1,-0.56,-0.61,4.28,4.64,6.09,6.6,15.71,17.05
"BE",2013,7,616.3,13605.3,17709.5,45355.8,NA,0.18,NA,3.93,NA,5.11,NA,13.09
"BG",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BG",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BG",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BG",2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BG",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BG",2012,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BG",2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CY",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CY",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CY",2009,3,10,0,0,2229,0.06,0.06,0,0,0,0,13.23,12.99
"CY",2010,4,27,0,0,2962,0.16,0.16,0,0,0,0,17.02,17.26
"CY",2011,5,25,0,0,2769,0.14,0.15,0,0,0,0,15.4,16.14
"CY",2012,6,-40.5,1796.1,1888.6,1000,-0.23,-0.24,10.04,10.47,10.56,11.01,5.59,5.83
"CY",2013,7,-31,0,1987.2,1000,NA,-0.18,NA,0,NA,11.58,NA,5.83
"CZ",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ",2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ",2012,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ",2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",2008,2,-3156,47924.4,51080.5,66300,-0.13,-0.13,1.94,1.94,2.06,2.06,2.68,2.68
"DE",2009,3,-2991.6,87019.9,93222.6,159030,-0.13,-0.12,3.67,3.52,3.93,3.77,6.7,6.43
"DE",2010,4,-33237.2,265385.9,304988.9,87320,-1.33,-1.34,10.64,10.73,12.22,12.33,3.5,3.53
"DE",2011,5,-637.6,246409.2,289113.9,67643,-0.02,-0.03,9.44,9.96,11.08,11.69,2.59,2.73
"DE",2012,6,-2419.1,240448.3,287193.9,60435,-0.09,-0.1,9.02,9.72,10.77,11.61,2.27,2.44
"DE",2013,7,946.9,187249.4,233048.1,50159,0.03,0.04,6.84,7.57,8.51,9.42,1.83,2.03
"DK",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DK",2008,2,0.6,586.6,586.6,0,0,0,0.25,0.25,0.25,0.25,0,0
"DK",2009,3,162.1,10072.1,10072.1,7148.8,0.07,0.07,4.51,4.28,4.51,4.28,3.2,3.04
"DK",2010,4,562.1,9452.5,9452.5,27169.5,0.24,0.24,4,4.02,4,4.02,11.5,11.55
"DK",2011,5,-180.5,7734.3,7734.3,22369.6,-0.08,-0.08,3.22,3.29,3.22,3.29,9.3,9.51
"DK",2012,6,511.3,6381.2,6381.2,9471.8,0.21,0.22,2.6,2.71,2.6,2.71,3.86,4.03
"DK",2013,7,326.1,5867.5,5867.5,1270.5,NA,0.14,NA,2.5,NA,2.5,NA,0.54
"EE",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE",2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE",2012,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EE",2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2008,2,-12,9337,9337,0,0,0,0.86,0.86,0.86,0.86,0,0
"ES",2009,3,696,19335,19335,49008,0.07,0.06,1.85,1.78,1.85,1.78,4.68,4.51
"ES",2010,4,772,25918,25918,59506,0.07,0.07,2.48,2.38,2.48,2.38,5.69,5.47
"ES",2011,5,-3516,19200,24337,64659,-0.34,-0.32,1.83,1.77,2.33,2.24,6.18,5.94
"ES",2012,6,-38289,9824,54029,105093,-3.72,-3.52,0.95,0.9,5.25,4.97,10.21,9.66
"ES",2013,7,-4694,6981,56008,95604,NA,-0.43,NA,0.64,NA,5.15,NA,8.79
"FI",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FI",2008,2,0,0,0,115,0,0,0,0,0,0,0.06,0.06
"FI",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FI",2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FI",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FI",2012,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FI",2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FR",2007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FR",2008,2,48,10823,11452,39211,0,0,0.56,0.56,0.59,0.59,2.03,2.03
"FR",2009,3,1356,6751,5896,100111,0.07,0.07,0.36,0.35,0.31,0.3,5.31,5.18
"FR",2010,4,995,2463,801,90417,0.05,0.05,0.13,0.13,0.04,0.04,4.67,4.68
"FR",2011,5,601,30,0,70233,0.03,0.03,0,0,0,0,3.51,3.63
"FR",2012,6,-2198,30,2585,50605,-0.11,-0.11,0,0,0.13,0.13,2.49,2.62
"FR",2013,7,345.6,30,2654,68839,NA,0.02,NA,0,NA,0.14,NA,3.56
