"","iso2c","country","year","RR_Independence","RR_CurrencyCrisis","RR_InflationCrisis","RR_StockMarketCrash","RR_SovDebtCrisisDom","RR_SovDebtCrisisExt","RR_BankingCrisis","RR_YearlyCrisisTally"
"1410","AO","Angola",1800,"0","0","0",NA,"0","0","0","0"
"1510","AO","Angola",1801,"0","0","0",NA,"0","0","0","0"
"1610","AO","Angola",1802,"0","0","0",NA,"0","0","0","0"
"1710","AO","Angola",1803,"0","0","0",NA,"0","0","0","0"
"1810","AO","Angola",1804,"0","0","0",NA,"0","0","0","0"
"1910","AO","Angola",1805,"0","0","0",NA,"0","0","0","0"
"2010","AO","Angola",1806,"0","0","0",NA,"0","0","0","0"
"2110","AO","Angola",1807,"0","0","0",NA,"0","0","0","0"
"225","AO","Angola",1808,"0","0","0",NA,"0","0","0","0"
"231","AO","Angola",1809,"0","0","0",NA,"0","0","0","0"
"241","AO","Angola",1810,"0","0","0",NA,"0","0","0","0"
"251","AO","Angola",1811,"0","0","0",NA,"0","0","0","0"
"261","AO","Angola",1812,"0","0","0",NA,"0","0","0","0"
"271","AO","Angola",1813,"0","0","0",NA,"0","0","0","0"
"281","AO","Angola",1814,"0","0","0",NA,"0","0","0","0"
"291","AO","Angola",1815,"0","0","0",NA,"0","0","0","0"
"301","AO","Angola",1816,"0","0","0",NA,"0","0","0","0"
"311","AO","Angola",1817,"0","0","0",NA,"0","0","0","0"
"321","AO","Angola",1818,"0","0","0",NA,"0","0","0","0"
"331","AO","Angola",1819,"0","0","0",NA,"0","0","0","0"
"341","AO","Angola",1820,"0","0","0",NA,"0","0","0","0"
"351","AO","Angola",1821,"0","0","0",NA,"0","0","0","0"
"361","AO","Angola",1822,"0","0","0",NA,"0","0","0","0"
"371","AO","Angola",1823,"0","0","0",NA,"0","0","0","0"
"381","AO","Angola",1824,"0","0","0",NA,"0","0","0","0"
"391","AO","Angola",1825,"0","0","0",NA,"0","0","0","0"
"401","AO","Angola",1826,"0","0","0",NA,"0","0","0","0"
"411","AO","Angola",1827,"0","0","0",NA,"0","0","0","0"
"421","AO","Angola",1828,"0","0","0",NA,"0","0","0","0"
"431","AO","Angola",1829,"0","0","0",NA,"0","0","0","0"
"441","AO","Angola",1830,"0","0","0",NA,"0","0","0","0"
"451","AO","Angola",1831,"0","0","0",NA,"0","0","0","0"
"461","AO","Angola",1832,"0","0","0",NA,"0","0","0","0"
"471","AO","Angola",1833,"0","0","0",NA,"0","0","0","0"
"481","AO","Angola",1834,"0","0","0",NA,"0","0","0","0"
"491","AO","Angola",1835,"0","0","0",NA,"0","0","0","0"
"501","AO","Angola",1836,"0","0","0",NA,"0","0","0","0"
"511","AO","Angola",1837,"0","0","0",NA,"0","0","0","0"
"521","AO","Angola",1838,"0","0","0",NA,"0","0","0","0"
"531","AO","Angola",1839,"0","0","0",NA,"0","0","0","0"
"541","AO","Angola",1840,"0","0","0",NA,"0","0","0","0"
"551","AO","Angola",1841,"0","0","0",NA,"0","0","0","0"
"561","AO","Angola",1842,"0","0","0",NA,"0","0","0","0"
"571","AO","Angola",1843,"0","0","0",NA,"0","0","0","0"
"581","AO","Angola",1844,"0","0","0",NA,"0","0","0","0"
"591","AO","Angola",1845,"0","0","0",NA,"0","0","0","0"
"601","AO","Angola",1846,"0","0","0",NA,"0","0","0","0"
"611","AO","Angola",1847,"0","0","0",NA,"0","0","0","0"
"621","AO","Angola",1848,"0","0","0",NA,"0","0","0","0"
"631","AO","Angola",1849,"0","0","0",NA,"0","0","0","0"
"641","AO","Angola",1850,"0","0","0",NA,"0","0","0","0"
"651","AO","Angola",1851,"0","0","0",NA,"0","0","0","0"
"661","AO","Angola",1852,"0","0","0",NA,"0","0","0","0"
"671","AO","Angola",1853,"0","0","0",NA,"0","0","0","0"
"681","AO","Angola",1854,"0","0","0",NA,"0","0","0","0"
"691","AO","Angola",1855,"0","0","0",NA,"0","0","0","0"
"701","AO","Angola",1856,"0","0","0",NA,"0","0","0","0"
"711","AO","Angola",1857,"0","0","0",NA,"0","0","0","0"
"721","AO","Angola",1858,"0","0","0",NA,"0","0","0","0"
"731","AO","Angola",1859,"0","0","0",NA,"0","0","0","0"
"741","AO","Angola",1860,"0","0","0",NA,"0","0","0","0"
"751","AO","Angola",1861,"0","0","0",NA,"0","0","0","0"
"761","AO","Angola",1862,"0","0","0",NA,"0","0","0","0"
"771","AO","Angola",1863,"0","0","0",NA,"0","0","0","0"
"781","AO","Angola",1864,"0","0","0",NA,"0","0","0","0"
"791","AO","Angola",1865,"0","0","0",NA,"0","0","0","0"
"801","AO","Angola",1866,"0","0","0",NA,"0","0","0","0"
"811","AO","Angola",1867,"0","0","0",NA,"0","0","0","0"
"821","AO","Angola",1868,"0","0","0",NA,"0","0","0","0"
