"iso2c","country","year","RR_Independence","RR_CurrencyCrisis","RR_InflationCrisis","RR_StockMarketCrash","RR_SovDebtCrisisDom","RR_SovDebtCrisisExt","RR_BankingCrisis","RR_YearlyCrisisTally"
"AO","Angola",1800,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1801,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1802,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1803,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1804,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1805,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1806,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1807,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1808,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1809,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1810,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1811,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1812,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1813,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1814,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1815,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1816,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1817,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1818,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1819,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1820,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1821,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1822,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1823,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1824,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1825,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1826,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1827,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1828,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1829,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1830,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1831,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1832,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1833,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1834,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1835,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1836,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1837,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1838,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1839,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1840,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1841,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1842,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1843,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1844,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1845,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1846,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1847,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1848,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1849,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1850,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1851,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1852,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1853,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1854,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1855,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1856,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1857,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1858,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1859,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1860,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1861,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1862,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1863,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1864,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1865,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1866,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1867,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1868,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1869,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1870,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1871,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1872,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1873,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1874,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1875,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1876,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1877,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1878,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1879,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1880,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1881,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1882,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1883,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1884,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1885,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1886,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1887,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1888,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1889,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1890,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1891,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1892,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1893,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1894,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1895,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1896,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1897,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1898,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1899,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1900,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1901,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1902,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1903,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1904,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1905,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1906,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1907,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1908,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1909,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1910,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1911,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1912,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1913,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1914,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1915,"0","0","1",NA,"0","0","0","1"
"AO","Angola",1916,"0","0","1",NA,"0","0","0","1"
"AO","Angola",1917,"0","0","1",NA,"0","0","0","1"
"AO","Angola",1918,"0","0","1",NA,"0","0","0","1"
"AO","Angola",1919,"0","0","1",NA,"0","0","0","1"
"AO","Angola",1920,"0","0","1",NA,"0","0","0","1"
"AO","Angola",1921,"0","0","1",NA,"0","0","0","1"
"AO","Angola",1922,"0","0","1",NA,"0","0","0","1"
"AO","Angola",1923,"0","0","1",NA,"0","0","0","1"
"AO","Angola",1924,"0","0","1",NA,"0","0","0","1"
"AO","Angola",1925,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1926,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1927,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1928,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1929,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1930,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1931,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1932,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1933,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1934,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1935,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1936,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1937,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1938,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1939,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1940,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1941,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1942,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1943,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1944,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1945,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1946,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1947,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1948,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1949,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1950,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1951,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1952,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1953,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1954,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1955,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1956,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1957,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1958,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1959,"0","1","0",NA,"0","0","0","1"
"AO","Angola",1960,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1961,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1962,"0","0","0",NA,"0","0","0","0"
"AO","Angola",1963,"0","1","1",NA,"0","0","0","2"
"AO","Angola",1964,"0","0","1",NA,"0","0","0","1"
"AO","Angola",1965,"0","0","1",NA,"0","0","0","1"
"AO","Angola",1966,"0","1","1",NA,"0","0","0","2"
"AO","Angola",1967,"0","0","1",NA,"0","0","0","1"
"AO","Angola",1968,"0","1","1",NA,"0","0","0","2"
