"","iso2c","year","country","RR_Independence","RR_CurrencyCrisis","RR_InflationCrisis","RR_StockMarketCrash","RR_SovDebtCrisisDom","RR_SovDebtCrisisExt","RR_BankingCrisis","RR_YearlyCrisisTally","LV2012.Fiscal","Keefer2007.Fiscal","Honohan2003.Fiscal","HonohanCrisisOngoing","ongoingLV","polity2"
"1","AO",1975,"Angola","1","0","1",NA,"0","0","0","1",NA,NA,NA,NA,NA,-7
"2","AO",1976,"Angola","1","0","1",NA,"1","0","0","2",NA,NA,NA,NA,NA,-7
"3","AO",1977,"Angola","1","0","1",NA,"0","0","0","1",NA,NA,NA,NA,NA,-7
"4","AO",1978,"Angola","1","0","1",NA,"0","0","0","1",NA,NA,NA,NA,NA,-7
"5","AO",1979,"Angola","1","0","1",NA,"0","0","0","1",NA,NA,NA,NA,NA,-7
"6","AO",1980,"Angola","1","0","1",NA,"0","0","0","1",NA,NA,NA,NA,NA,-7
"7","AO",1981,"Angola","1","0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,-7
"8","AO",1982,"Angola","1","0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,-7
"9","AO",1983,"Angola","1","0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,-7
"10","AO",1984,"Angola","1","0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,-7
"11","AO",1985,"Angola","1","0","0",NA,"0","1","0","1",NA,NA,NA,NA,NA,-7
"12","AO",1986,"Angola","1","0","0",NA,"0","1","0","1",NA,NA,NA,NA,NA,-7
"13","AO",1987,"Angola","1","0","0",NA,"0","1","0","1",NA,NA,NA,NA,NA,-7
"14","AO",1988,"Angola","1","0","0",NA,"0","1","0","1",NA,NA,NA,NA,NA,-7
"15","AO",1989,"Angola","1","0","0",NA,"0","1","0","1",NA,NA,NA,NA,NA,-7
"16","AO",1990,"Angola","1","0","0",NA,"0","1","0","1",NA,NA,NA,NA,NA,-7
"17","AO",1991,"Angola","1","1","1",NA,"0","1","0","3",NA,NA,NA,NA,NA,-3
"18","AO",1992,"Angola","1","1","1",NA,"1","1","1","5",NA,NA,NA,NA,NA,0
