"","iso2c","year","X","country","RR_Independence","RR_CurrencyCrisis","RR_InflationCrisis","RR_StockMarketCrash","RR_SovDebtCrisisDom","RR_SovDebtCrisisExt","RR_BankingCrisis","RR_YearlyCrisisTally","LV2012.Fiscal","Keefer2007.Fiscal","Honohan2003.Fiscal","HonohanCrisisOngoing","ongoingLV","polity2","LV_SystemCrisis"
"1","AO",1975,1,"Angola",1,0,1,NA,0,0,0,1,NA,NA,NA,NA,NA,-7,NA
"2","AO",1976,2,"Angola",1,0,1,NA,1,0,0,2,NA,NA,NA,NA,NA,-7,NA
"3","AO",1977,3,"Angola",1,0,1,NA,0,0,0,1,NA,NA,NA,NA,NA,-7,NA
"4","AO",1978,4,"Angola",1,0,1,NA,0,0,0,1,NA,NA,NA,NA,NA,-7,NA
"5","AO",1979,5,"Angola",1,0,1,NA,0,0,0,1,NA,NA,NA,NA,NA,-7,NA
"6","AO",1980,6,"Angola",1,0,1,NA,0,0,0,1,NA,NA,NA,NA,NA,-7,NA
"7","AO",1981,7,"Angola",1,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,-7,NA
"8","AO",1982,8,"Angola",1,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,-7,NA
"9","AO",1983,9,"Angola",1,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,-7,NA
"10","AO",1984,10,"Angola",1,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,-7,NA
"11","AO",1985,11,"Angola",1,0,0,NA,0,1,0,1,NA,NA,NA,NA,NA,-7,NA
"12","AO",1986,12,"Angola",1,0,0,NA,0,1,0,1,NA,NA,NA,NA,NA,-7,NA
"13","AO",1987,13,"Angola",1,0,0,NA,0,1,0,1,NA,NA,NA,NA,NA,-7,NA
"14","AO",1988,14,"Angola",1,0,0,NA,0,1,0,1,NA,NA,NA,NA,NA,-7,NA
"15","AO",1989,15,"Angola",1,0,0,NA,0,1,0,1,NA,NA,NA,NA,NA,-7,NA
"16","AO",1990,16,"Angola",1,0,0,NA,0,1,0,1,NA,NA,NA,NA,NA,-7,NA
"17","AO",1991,17,"Angola",1,1,1,NA,0,1,0,3,NA,NA,NA,NA,NA,-3,NA
"18","AO",1992,18,"Angola",1,1,1,NA,1,1,1,5,NA,NA,NA,NA,NA,0,NA
"19","AO",1993,19,"Angola",1,1,1,NA,1,1,1,5,NA,NA,NA,NA,NA,-1,NA
"20","AO",1994,20,"Angola",1,1,1,NA,1,1,1,5,NA,NA,NA,NA,NA,-1,NA
"21","AO",1995,21,"Angola",1,2,1,NA,1,1,1,6,NA,NA,NA,NA,NA,-2,NA
"22","AO",1996,22,"Angola",1,1,1,NA,1,1,1,5,NA,NA,NA,NA,NA,-2,NA
"23","AO",1997,23,"Angola",1,1,1,NA,1,1,1,5,NA,NA,NA,NA,NA,-3,NA
"24","AO",1998,24,"Angola",1,1,1,NA,1,1,1,5,NA,NA,NA,NA,NA,-3,NA
"25","AO",1999,25,"Angola",1,2,1,NA,1,1,0,5,NA,NA,NA,NA,NA,-3,NA
"26","AO",2000,26,"Angola",1,1,1,NA,1,1,0,4,NA,NA,NA,NA,NA,-3,NA
"27","AO",2001,27,"Angola",1,1,1,NA,1,1,0,4,NA,NA,NA,NA,NA,-3,NA
"28","AO",2002,28,"Angola",1,1,1,NA,1,1,0,4,NA,NA,NA,NA,NA,-2,NA
"29","AO",2003,29,"Angola",1,1,1,NA,0,1,0,3,NA,NA,NA,NA,NA,-2,NA
"30","AO",2004,30,"Angola",1,1,1,NA,0,0,0,2,NA,NA,NA,NA,NA,-2,NA
"31","AO",2005,31,"Angola",1,1,1,NA,0,0,0,2,NA,NA,NA,NA,NA,-2,NA
